總行代號(1~3),分行代號(4~7),新增核准額度日期∕清償日期∕額度到期或解約日期(8~14),額度控制編碼∕帳號(15~64),授信戶IDN/BAN(65~74),科目別(75),科目別註記(76),交易別(77),訂約金額(78~87),新增核准額度當日動撥∕清償金額(88~97),本筆新增核准額度應計入DBR22倍規範之金額(98~107),1~7欄資料值相同之交易序號(108),空白(109~128)
458,0001,1090520,0000011001012                                     ,S124236106,I,S,L,0000020000,0000000003,0000000000, ,                    
458,0001,1090520,0000039001002                                     ,A132874768,I,S,L,0000020000,0000001000,0000000000, ,                    
458,0001,1090521,0000010002001                                     ,12345676  ,E,S,L,0000002000,0000001000,0000000000, ,                    
458,0001,1090521,0000013011001                                     ,A220220225,E,S,L,0000001000,0000000010,0000000000, ,                    
458,0001,1090521,0000032001001                                     ,A188048598,E,S,L,0000001000,0000000321,0000000000, ,                    
458,0001,1090521,0000034001002                                     ,S120642135,H,S,L,0000010000,0000000030,0000000000, ,                    
458,0001,1090521,0000039003001                                     ,A132874768,I,S,L,0000010000,0000001000,0000000000, ,                    
458,0001,1090521,0000041001001                                     ,A156133746,I,S,L,0000001000,0000000300,0000000000, ,                    
458,0001,1090521,0000042001001                                     ,A167270054,I,S,L,0000001000,0000000200,0000000000, ,                    
458,0001,1090521,0000042001002                                     ,A167270054,I,S,L,0000001000,0000000500,0000000000, ,                    
458,0001,1090521,0000042001003                                     ,A167270054,I,S,L,0000001000,0000000100,0000000000, ,                    
458,0001,1090521,0000042003001                                     ,A167270054,I,S,L,0000001000,0000000300,0000000000, ,                    
458,0001,1090521,0000042003002                                     ,A167270054,I,S,L,0000001000,0000000020,0000000000, ,                    
458,0001,1090521,0000042003003                                     ,A167270054,I,S,L,0000001000,0000000023,0000000000, ,                    
458,0001,1090521,0000043001001                                     ,A122712920,I,S,L,0000010000,0000010000,0000000000, ,                    
458,0001,1090521,0000043002001                                     ,A122712920,I,S,L,0000005000,0000002000,0000000000, ,                    
458,0001,1090521,0000043002002                                     ,A122712920,I,S,L,0000005000,0000003000,0000000000, ,                    
458,0001,1090521,0000043003001                                     ,A122712920,I,S,L,0000005000,0000005000,0000000000, ,                    
458,0001,1090521,0000043004001                                     ,A122712920,E,S,L,0000002500,0000001000,0000000000, ,                    
458,0001,1090521,0000044001001                                     ,A197375188,I,S,L,0000001000,0000000100,0000000000, ,                    
458,0001,1090521,0000044001901                                     ,A197375188,I,S,L,0000001000,0000000100,0000000000, ,                    
458,0001,1090521,0000044002001                                     ,A197375188,I,S,L,0000001000,0000001000,0000000000, ,                    
458,0001,1090521,0000044003001                                     ,A197375188,I,S,L,0000001000,0000001000,0000000000, ,                    
458,0001,1090521,0000044004001                                     ,A197375188,I,S,L,0000001000,0000001000,0000000000, ,                    
458,0001,1090521,0000044005001                                     ,A197375188,I,S,L,0000001000,0000001000,0000000000, ,                    
458,0001,1090521,0000045001001                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000045001002                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000045001003                                     ,A178950572,H,S,L,0000000010,0000000002,0000000000, ,                    
458,0001,1090521,0000045001004                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000045001005                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000045001006                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000045001901                                     ,A178950572,H,S,L,0000000010,0000000001,0000000000, ,                    
458,0001,1090521,0000046001001                                     ,A110752610,H,S,L,0000001000,0000000100,0000000000, ,                    
458,0001,1090521,0000047001001                                     ,A288088923,H,S,L,0000001000,0000001000,0000000000, ,                    
458,0001,1090521,0000049001001                                     ,A121396477,I,S,L,0000001000,0000000100,0000000000, ,                    
458,0001,1090521,0000050001001                                     ,A136991779,I,S,L,0000000120,0000000100,0000000000, ,                    
458,0001,1090521,0000051001001                                     ,A166186062,I,S,L,0000000150,0000000140,0000000000, ,                    
